2016-11-10T13:56:48.000Z,65.3697,-144.9885,0,1.7,,ak14312984,17km SW of Circle Hot Springs Station Alaska,1.1,0.5,
2016-11-09T23:29:31.420Z,37.585,-113.355,10.1,1.17,0.03488,uu60170202,27km WSW of Cedar City Utah,0.67,1.01,0.332
2016-11-07T21:52:10.600Z,17.965,-68.4235,93,3.3,0.98904513,pr16312003,49km SSE of Boca de Yuma Dominican Republic,2.6,2.1,0
2016-11-06T12:15:02.360Z,40.4401667,-73.8001667,4.41,1.98,0.2933,ld60129006,16km ENE of Highlands New Jersey,0.52,1.98,0.229
2016-11-05T06:55:56.520Z,19.3908333,-155.247,2.336,1.45,0.006678,hv61468846,4km SSW of Volcano Hawaii,0.19,0.19,0.055
2016-11-05T03:54:09.810Z,14.0357,145.3497,83.61,4.9,0.644,us1000748s,20km SE of Rota Northern Mariana Islands,6.5,6.1,0.04
2016-11-04T23:06:45.220Z,36.1486,-97.6535,2.74,3.3,0.037,us1000747r,22km ENE of Hennessey Oklahoma,1.1,7.1,0.056
2016-10-23T21:13:31.470Z,44.6023333,-110.4228333,2.03,0.19,0.04056,uu60009800,35km ENE of Old Faithful Geyser Wyoming,0.66,31.61,0.076
2016-10-21T07:26:27.200Z,18.6275,-64.7443,17,2.4,0.2407485,pr16295003,26km NNW of Road Town British Virgin Islands,2.9,3.5,0
2016-10-11T18:50:30.149Z,38.3432,-118.5297,7.5,1.2,0.094,nn00563293,21km SSE of Hawthorne Nevada,,3.4,0.09
2016-10-13T18:34:26.620Z,44.7648333,-111.5111667,11.66,0.72,0.088,mb80182674,34km WNW of West Yellowstone Montana,0.87,1.05,0.51
